endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_480-2,Chronic pulmonary edema,Resp,"0.688 (0.661, 0.721)","0.843 (0.818, 0.865)","0.156 (0.131, 0.188)",+,0.156,"0.637 (0.623, 0.647)","0.799 (0.788, 0.809)","0.161 (0.152, 0.182)",0.161,+,1673,UKB: + | AoU: +,++
phecode_481,Interstitial pulmonary diseases,Resp,"0.72 (0.708, 0.73)","0.78 (0.773, 0.789)","0.061 (0.052, 0.068)",+,0.061,"0.664 (0.649, 0.679)","0.751 (0.739, 0.766)","0.088 (0.074, 0.096)",0.088,+,1801,UKB: + | AoU: +,++
phecode_481-4,Pulmonary fibrosis,Resp,"0.732 (0.72, 0.748)","0.826 (0.816, 0.839)","0.094 (0.08, 0.106)",+,0.094,"0.698 (0.68, 0.719)","0.749 (0.732, 0.766)","0.052 (0.033, 0.062)",0.052,+,1117,UKB: + | AoU: +,++
phecode_481-42,Idiopathic pulmonary fibrosis,Resp,"0.768 (0.742, 0.812)","0.83 (0.805, 0.862)","0.06 (0.036, 0.078)",+,0.06,"0.799 (0.764, 0.821)","0.828 (0.79, 0.872)","0.034 (-0.022, 0.08)",0.034,ns,115,UKB: + | AoU: ns,+ns
phecode_482,Suppurative and necrotic conditions of the lower respiratory tract,Resp,"0.636 (0.615, 0.658)","0.727 (0.709, 0.743)","0.092 (0.066, 0.112)",+,0.092,"0.622 (0.589, 0.677)","0.761 (0.729, 0.793)","0.139 (0.079, 0.192)",0.139,+,257,UKB: + | AoU: +,++
phecode_482-1,Abscess of lung and mediastinum,Resp,"0.627 (0.591, 0.675)","0.765 (0.716, 0.808)","0.139 (0.082, 0.186)",+,0.139,"0.63 (0.549, 0.689)","0.769 (0.718, 0.819)","0.135 (0.05, 0.229)",0.135,+,109,UKB: + | AoU: +,++
phecode_482-2,Pyothorax (empyema),Resp,"0.629 (0.605, 0.649)","0.715 (0.692, 0.734)","0.085 (0.062, 0.106)",+,0.085,"0.633 (0.592, 0.691)","0.743 (0.704, 0.777)","0.108 (0.056, 0.166)",0.108,+,175,UKB: + | AoU: +,++
phecode_483,Pleural effusion,Resp,"0.676 (0.671, 0.68)","0.739 (0.734, 0.744)","0.063 (0.059, 0.068)",+,0.063,"0.655 (0.646, 0.666)","0.777 (0.768, 0.788)","0.123 (0.112, 0.131)",0.123,+,3079,UKB: + | AoU: +,++
phecode_484,Pneumothorax and air leak,Resp,"0.647 (0.633, 0.661)","0.689 (0.675, 0.701)","0.043 (0.026, 0.054)",+,0.043,"0.653 (0.628, 0.675)","0.762 (0.75, 0.781)","0.111 (0.093, 0.138)",0.111,+,886,UKB: + | AoU: +,++
phecode_484-4,Interstitial emphysema [Pneumomediastinum],Resp,"0.687 (0.626, 0.766)","0.732 (0.664, 0.782)","0.043 (-0.007, 0.113)",ns,0.043,"0.615 (0.56, 0.672)","0.741 (0.702, 0.803)","0.127 (0.058, 0.191)",0.127,+,140,UKB: ns | AoU: +,ns+
phecode_485,Chronic respiratory failure,Resp,"0.645 (0.62, 0.668)","0.876 (0.861, 0.902)","0.231 (0.198, 0.266)",+,0.231,"0.66 (0.644, 0.678)","0.871 (0.858, 0.882)","0.211 (0.187, 0.232)",0.211,+,1402,UKB: + | AoU: +,++
phecode_486,Other respiratory disorders,Resp,"0.523 (0.521, 0.526)","0.756 (0.755, 0.758)","0.233 (0.23, 0.236)",+,0.233,"0.502 (0.5, 0.506)","0.553 (0.549, 0.557)","0.051 (0.045, 0.056)",0.051,+,19385,UKB: + | AoU: +,++
phecode_486-2,Other diseases of bronchus,Resp,"0.488 (0.473, 0.501)","0.759 (0.747, 0.773)","0.271 (0.256, 0.289)",+,0.271,"0.559 (0.546, 0.567)","0.661 (0.651, 0.668)","0.101 (0.095, 0.111)",0.101,+,5939,UKB: + | AoU: +,++
phecode_486-21,Bronchospasm,Resp,"0.561 (0.538, 0.575)","0.817 (0.804, 0.829)","0.255 (0.231, 0.286)",+,0.255,"0.572 (0.551, 0.592)","0.7 (0.681, 0.726)","0.129 (0.093, 0.157)",0.129,+,792,UKB: + | AoU: +,++
phecode_486-3,Other diseases of mediastinum,Resp,"0.59 (0.552, 0.639)","0.663 (0.61, 0.725)","0.071 (0.01, 0.12)",+,0.071,"0.652 (0.61, 0.706)","0.712 (0.651, 0.74)","0.057 (0.005, 0.095)",0.057,+,153,UKB: + | AoU: +,++
phecode_486-4,Disorders of diaphragm,Resp,"0.741 (0.723, 0.758)","0.77 (0.752, 0.789)","0.029 (0.015, 0.04)",+,0.029,"0.68 (0.658, 0.711)","0.759 (0.737, 0.784)","0.078 (0.051, 0.104)",0.078,+,538,UKB: + | AoU: +,++
phecode_486-41,Hiccough,Resp,"0.779 (0.761, 0.803)","0.791 (0.77, 0.815)","0.011 (0.001, 0.025)",+,0.011,"0.718 (0.681, 0.76)","0.723 (0.688, 0.772)","0.006 (-0.033, 0.038)",0.006,ns,209,UKB: + | AoU: ns,+ns
phecode_486-5,Abnormal sputum,Resp,"0.536 (0.53, 0.539)","0.755 (0.751, 0.757)","0.219 (0.215, 0.223)",+,0.219,"0.618 (0.533, 0.687)","0.73 (0.673, 0.782)","0.108 (0.037, 0.183)",0.108,+,134,UKB: + | AoU: +,++
phecode_487,Hemorrhage from respiratory passages,Resp,"0.592 (0.588, 0.598)","0.686 (0.683, 0.691)","0.093 (0.088, 0.097)",+,0.093,"0.585 (0.571, 0.599)","0.713 (0.702, 0.724)","0.128 (0.119, 0.14)",0.128,+,2384,UKB: + | AoU: +,++
phecode_487-1,Epistaxis,Resp,"0.596 (0.592, 0.6)","0.683 (0.678, 0.688)","0.087 (0.08, 0.092)",+,0.087,"0.598 (0.583, 0.618)","0.708 (0.692, 0.721)","0.108 (0.092, 0.122)",0.108,+,1648,UKB: + | AoU: +,++
phecode_487-3,Hemoptysis,Resp,"0.591 (0.583, 0.6)","0.724 (0.718, 0.73)","0.132 (0.12, 0.144)",+,0.132,"0.579 (0.559, 0.597)","0.753 (0.737, 0.768)","0.173 (0.154, 0.195)",0.173,+,859,UKB: + | AoU: +,++
phecode_488,Abnormalities of breathing,Resp,"0.56 (0.558, 0.562)","0.728 (0.726, 0.729)","0.168 (0.166, 0.171)",+,0.168,"0.551 (0.546, 0.556)","0.654 (0.65, 0.66)","0.103 (0.098, 0.108)",0.103,+,15404,UKB: + | AoU: +,++
phecode_488-1,Dyspnea [Shortness of breath],Resp,"0.589 (0.587, 0.591)","0.747 (0.745, 0.749)","0.159 (0.156, 0.162)",+,0.159,"0.565 (0.559, 0.57)","0.665 (0.66, 0.671)","0.101 (0.096, 0.105)",0.101,+,14137,UKB: + | AoU: +,++
phecode_488-11,Orthopnea,Resp,"0.662 (0.633, 0.687)","0.858 (0.838, 0.877)","0.197 (0.167, 0.222)",+,0.197,"0.604 (0.572, 0.627)","0.791 (0.763, 0.816)","0.188 (0.16, 0.218)",0.188,+,454,UKB: + | AoU: +,++
phecode_488-6,Wheezing,Resp,"0.502 (0.498, 0.507)","0.788 (0.784, 0.793)","0.286 (0.281, 0.291)",+,0.286,"0.568 (0.555, 0.582)","0.73 (0.715, 0.741)","0.163 (0.14, 0.176)",0.163,+,2096,UKB: + | AoU: +,++
phecode_488-8,Mouth breathing*,Resp,"0.594 (0.584, 0.602)","0.705 (0.699, 0.712)","0.112 (0.105, 0.12)",+,0.112,"0.521 (0.507, 0.53)","0.681 (0.672, 0.689)","0.159 (0.146, 0.177)",0.159,+,3994,UKB: + | AoU: +,++
phecode_488-9,Obesity hypoventilation syndrome [OHS],Resp,"0.502 (0.464, 0.539)","0.911 (0.891, 0.93)","0.41 (0.37, 0.452)",+,0.41,"0.544 (0.519, 0.583)","0.862 (0.846, 0.886)","0.319 (0.268, 0.359)",0.319,+,472,UKB: + | AoU: +,++
phecode_491,Pleurisy,Resp,"0.661 (0.652, 0.671)","0.708 (0.701, 0.717)","0.047 (0.04, 0.053)",+,0.047,"0.603 (0.582, 0.624)","0.71 (0.687, 0.728)","0.105 (0.084, 0.123)",0.105,+,888,UKB: + | AoU: +,++
phecode_494,Voice disturbance,Resp,"0.583 (0.574, 0.589)","0.729 (0.724, 0.735)","0.146 (0.141, 0.152)",+,0.146,"0.647 (0.629, 0.658)","0.73 (0.716, 0.742)","0.083 (0.072, 0.094)",0.083,+,1892,UKB: + | AoU: +,++
phecode_495,Abnormal findings on diagnostic imaging of lung,Resp,"0.64 (0.634, 0.644)","0.704 (0.7, 0.71)","0.065 (0.06, 0.07)",+,0.065,"0.624 (0.617, 0.63)","0.702 (0.697, 0.707)","0.078 (0.073, 0.082)",0.078,+,10726,UKB: + | AoU: +,++
phecode_495-1,Solitary pulmonary nodule,Resp,"0.612 (0.598, 0.626)","0.76 (0.748, 0.773)","0.148 (0.129, 0.16)",+,0.148,"0.682 (0.674, 0.69)","0.733 (0.726, 0.741)","0.051 (0.045, 0.058)",0.051,+,4027,UKB: + | AoU: +,++
phecode_496,Abnormal results of pulmonary function studies,Resp,"0.553 (0.548, 0.56)","0.795 (0.791, 0.799)","0.242 (0.236, 0.248)",+,0.242,"0.665 (0.65, 0.687)","0.747 (0.718, 0.768)","0.081 (0.057, 0.109)",0.081,+,484,UKB: + | AoU: +,++
phecode_498,Asphyxia and hypoxemia,Resp,"0.617 (0.602, 0.635)","0.737 (0.722, 0.752)","0.12 (0.098, 0.14)",+,0.12,"0.623 (0.611, 0.632)","0.773 (0.757, 0.782)","0.149 (0.138, 0.16)",0.149,+,3429,UKB: + | AoU: +,++
phecode_500,Disorders of tooth develoment,GI,"0.571 (0.556, 0.59)","0.598 (0.58, 0.612)","0.026 (0.012, 0.04)",+,0.026,"0.605 (0.57, 0.634)","0.595 (0.559, 0.623)","-0.013 (-0.055, 0.031)",-0.013,ns,382,UKB: + | AoU: ns,+ns
phecode_500-4,Disturbances in tooth eruption,GI,"0.575 (0.559, 0.591)","0.6 (0.581, 0.615)","0.025 (0.009, 0.04)",+,0.025,"0.751 (0.708, 0.78)","0.59 (0.547, 0.634)","-0.159 (-0.217, -0.101)",-0.159,-,221,UKB: + | AoU: -,+-
phecode_500-41,Impacted teeth*,GI,"0.585 (0.565, 0.607)","0.606 (0.59, 0.621)","0.022 (0.007, 0.039)",+,0.022,"0.764 (0.715, 0.809)","0.619 (0.574, 0.667)","-0.146 (-0.208, -0.068)",-0.146,-,175,UKB: + | AoU: -,+-
phecode_501,Dental caries,GI,"0.493 (0.482, 0.501)","0.651 (0.643, 0.66)","0.159 (0.148, 0.169)",+,0.159,"0.547 (0.535, 0.563)","0.618 (0.596, 0.628)","0.069 (0.035, 0.087)",0.069,+,2540,UKB: + | AoU: +,++
phecode_502,Other diseases of teeth and supporting structures,GI,"0.468 (0.462, 0.474)","0.689 (0.683, 0.694)","0.221 (0.211, 0.228)",+,0.221,"0.552 (0.538, 0.571)","0.633 (0.62, 0.646)","0.079 (0.058, 0.103)",0.079,+,1491,UKB: + | AoU: +,++
phecode_502-6,Loss of teeth and edentulism,GI,"0.512 (0.464, 0.56)","0.64 (0.594, 0.678)","0.128 (0.071, 0.172)",+,0.128,"0.603 (0.582, 0.615)","0.628 (0.606, 0.651)","0.026 (0.003, 0.044)",0.026,+,929,UKB: + | AoU: +,++
phecode_503,Diseases of pulp and periapical tissues,GI,"0.503 (0.498, 0.508)","0.686 (0.681, 0.694)","0.184 (0.175, 0.191)",+,0.184,"0.564 (0.55, 0.572)","0.659 (0.647, 0.671)","0.096 (0.078, 0.12)",0.096,+,2077,UKB: + | AoU: +,++
phecode_503-5,Periapical abscess,GI,"0.504 (0.497, 0.515)","0.689 (0.684, 0.696)","0.185 (0.177, 0.193)",+,0.185,"0.572 (0.555, 0.583)","0.661 (0.648, 0.674)","0.09 (0.072, 0.111)",0.09,+,1674,UKB: + | AoU: +,++
phecode_504,Periodontal diseases,GI,"0.466 (0.455, 0.478)","0.654 (0.647, 0.664)","0.187 (0.175, 0.203)",+,0.187,"0.532 (0.518, 0.541)","0.621 (0.609, 0.631)","0.088 (0.069, 0.105)",0.088,+,3382,UKB: + | AoU: +,++
phecode_504-1,Gingivitis,GI,"0.516 (0.5, 0.533)","0.706 (0.694, 0.718)","0.19 (0.168, 0.212)",+,0.19,"0.539 (0.519, 0.555)","0.612 (0.598, 0.64)","0.074 (0.048, 0.11)",0.074,+,1112,UKB: + | AoU: +,++
phecode_504-3,Periodontitis,GI,"0.555 (0.541, 0.574)","0.629 (0.612, 0.646)","0.074 (0.06, 0.104)",+,0.074,"0.521 (0.5, 0.543)","0.59 (0.563, 0.613)","0.068 (0.035, 0.092)",0.068,+,884,UKB: + | AoU: +,++
phecode_504-32,Chronic periodontitis,GI,"0.56 (0.545, 0.58)","0.627 (0.604, 0.647)","0.066 (0.037, 0.093)",+,0.066,"0.523 (0.502, 0.546)","0.581 (0.553, 0.606)","0.058 (0.023, 0.085)",0.058,+,829,UKB: + | AoU: +,++
phecode_505,Oral cysts,GI,"0.499 (0.481, 0.514)","0.604 (0.585, 0.627)","0.106 (0.077, 0.134)",+,0.106,"0.547 (0.505, 0.599)","0.587 (0.509, 0.631)","0.031 (-0.054, 0.101)",0.031,ns,107,UKB: + | AoU: ns,+ns
phecode_506,Diseases of salivary glands,GI,"0.581 (0.575, 0.587)","0.73 (0.724, 0.736)","0.15 (0.144, 0.156)",+,0.15,"0.622 (0.605, 0.638)","0.724 (0.713, 0.741)","0.103 (0.086, 0.122)",0.103,+,1617,UKB: + | AoU: +,++
phecode_506-3,Sialoadenitis,GI,"0.541 (0.524, 0.551)","0.7 (0.691, 0.711)","0.159 (0.142, 0.176)",+,0.159,"0.608 (0.568, 0.632)","0.701 (0.667, 0.729)","0.091 (0.046, 0.133)",0.091,+,404,UKB: + | AoU: +,++
phecode_506-4,Sialolithiasis,GI,"0.516 (0.5, 0.543)","0.665 (0.641, 0.68)","0.148 (0.119, 0.175)",+,0.148,"0.593 (0.538, 0.665)","0.681 (0.584, 0.733)","0.089 (-0.008, 0.169)",0.089,ns,116,UKB: + | AoU: ns,+ns
phecode_506-5,Disturbances of salivary secretion,GI,"0.618 (0.611, 0.626)","0.782 (0.776, 0.789)","0.165 (0.157, 0.171)",+,0.165,"0.642 (0.622, 0.66)","0.745 (0.733, 0.759)","0.102 (0.085, 0.121)",0.102,+,1141,UKB: + | AoU: +,++
phecode_507,Lesions of mouth,GI,"0.56 (0.556, 0.564)","0.7 (0.696, 0.705)","0.14 (0.135, 0.146)",+,0.14,"0.518 (0.513, 0.525)","0.624 (0.616, 0.629)","0.106 (0.098, 0.111)",0.106,+,10099,UKB: + | AoU: +,++
phecode_507-1,Stomatitis,GI,"0.559 (0.553, 0.567)","0.72 (0.714, 0.727)","0.161 (0.154, 0.17)",+,0.161,"0.556 (0.537, 0.58)","0.669 (0.649, 0.69)","0.112 (0.094, 0.133)",0.112,+,1167,UKB: + | AoU: +,++
phecode_507-11,Recurrent oral aphthae [Recurrent aphthous stomatitis],GI,"0.545 (0.534, 0.561)","0.745 (0.729, 0.753)","0.2 (0.182, 0.211)",+,0.2,"0.546 (0.52, 0.581)","0.685 (0.654, 0.717)","0.136 (0.095, 0.177)",0.136,+,415,UKB: + | AoU: +,++
phecode_507-3,Oral leukoplakia,GI,"0.497 (0.474, 0.512)","0.669 (0.652, 0.689)","0.173 (0.154, 0.199)",+,0.173,"0.717 (0.698, 0.761)","0.671 (0.641, 0.708)","-0.048 (-0.092, -0.011)",-0.048,-,309,UKB: + | AoU: -,+-
phecode_508,Diseases of lips,GI,"0.58 (0.572, 0.586)","0.712 (0.706, 0.721)","0.133 (0.123, 0.142)",+,0.133,"0.571 (0.553, 0.581)","0.665 (0.652, 0.679)","0.097 (0.077, 0.111)",0.097,+,1521,UKB: + | AoU: +,++
phecode_509,Diseases of tongue,GI,"0.569 (0.563, 0.575)","0.717 (0.711, 0.721)","0.148 (0.141, 0.154)",+,0.148,"0.577 (0.549, 0.598)","0.706 (0.679, 0.726)","0.125 (0.107, 0.15)",0.125,+,853,UKB: + | AoU: +,++
phecode_509-1,Glossitis,GI,"0.604 (0.593, 0.613)","0.744 (0.736, 0.753)","0.14 (0.13, 0.154)",+,0.14,"0.594 (0.551, 0.625)","0.724 (0.678, 0.754)","0.13 (0.098, 0.169)",0.13,+,410,UKB: + | AoU: +,++
phecode_509-11,Glossodynia,GI,"0.621 (0.603, 0.633)","0.784 (0.774, 0.794)","0.164 (0.149, 0.174)",+,0.164,"0.613 (0.573, 0.665)","0.736 (0.686, 0.769)","0.118 (0.071, 0.153)",0.118,+,238,UKB: + | AoU: +,++
phecode_510,Diseases of esophagus,GI,"0.561 (0.557, 0.564)","0.667 (0.663, 0.669)","0.106 (0.102, 0.11)",+,0.106,"0.567 (0.563, 0.574)","0.655 (0.65, 0.661)","0.089 (0.082, 0.096)",0.089,+,12893,UKB: + | AoU: +,++
phecode_510-1,Achalasia of cardia,GI,"0.564 (0.527, 0.599)","0.676 (0.636, 0.724)","0.116 (0.048, 0.161)",+,0.116,"0.621 (0.561, 0.68)","0.749 (0.701, 0.808)","0.132 (0.042, 0.19)",0.132,+,120,UKB: + | AoU: +,++
phecode_510-2,Esophagitis,GI,"0.553 (0.55, 0.557)","0.662 (0.659, 0.666)","0.109 (0.105, 0.113)",+,0.109,"0.572 (0.56, 0.58)","0.718 (0.708, 0.725)","0.147 (0.136, 0.161)",0.147,+,3461,UKB: + | AoU: +,++
phecode_510-5,Dyskinesia of esophagus,GI,"0.588 (0.572, 0.601)","0.738 (0.726, 0.755)","0.151 (0.137, 0.166)",+,0.151,"0.67 (0.651, 0.686)","0.789 (0.763, 0.806)","0.118 (0.093, 0.143)",0.118,+,851,UKB: + | AoU: +,++
phecode_510-8,Barrett's esophagus,GI,"0.641 (0.633, 0.646)","0.709 (0.703, 0.716)","0.068 (0.063, 0.077)",+,0.068,"0.677 (0.659, 0.704)","0.748 (0.728, 0.765)","0.07 (0.045, 0.091)",0.07,+,646,UKB: + | AoU: +,++
phecode_511,Gastro-esophageal reflux disease,GI,"0.549 (0.547, 0.551)","0.685 (0.683, 0.687)","0.136 (0.132, 0.138)",+,0.136,"0.562 (0.558, 0.568)","0.652 (0.646, 0.658)","0.09 (0.084, 0.096)",0.09,+,12539,UKB: + | AoU: +,++
phecode_512,Dysphagia,GI,"0.569 (0.565, 0.574)","0.683 (0.679, 0.686)","0.115 (0.109, 0.119)",+,0.115,"0.616 (0.607, 0.621)","0.717 (0.711, 0.724)","0.101 (0.094, 0.111)",0.101,+,5542,UKB: + | AoU: +,++
phecode_513,Peptic ulcer,GI,"0.607 (0.601, 0.612)","0.688 (0.684, 0.693)","0.081 (0.076, 0.086)",+,0.081,"0.594 (0.584, 0.609)","0.719 (0.709, 0.73)","0.125 (0.111, 0.136)",0.125,+,2378,UKB: + | AoU: +,++
phecode_513-1,Esophageal ulcer,GI,"0.625 (0.616, 0.632)","0.694 (0.687, 0.702)","0.069 (0.061, 0.077)",+,0.069,"0.617 (0.581, 0.641)","0.758 (0.722, 0.783)","0.143 (0.118, 0.173)",0.143,+,439,UKB: + | AoU: +,++
phecode_513-2,Gastric ulcer,GI,"0.595 (0.589, 0.601)","0.7 (0.694, 0.708)","0.105 (0.1, 0.112)",+,0.105,"0.609 (0.595, 0.628)","0.743 (0.722, 0.759)","0.133 (0.114, 0.151)",0.133,+,1235,UKB: + | AoU: +,++
phecode_513-3,Duodenal ulcer,GI,"0.644 (0.636, 0.653)","0.705 (0.697, 0.715)","0.06 (0.054, 0.07)",+,0.06,"0.666 (0.642, 0.692)","0.756 (0.735, 0.774)","0.091 (0.066, 0.125)",0.091,+,527,UKB: + | AoU: +,++
phecode_513-4,Gastrojejunal ulcer,GI,"0.542 (0.491, 0.588)","0.779 (0.708, 0.833)","0.236 (0.155, 0.342)",+,0.236,"0.606 (0.563, 0.657)","0.798 (0.758, 0.827)","0.193 (0.134, 0.242)",0.193,+,164,UKB: + | AoU: +,++
phecode_514,Gastrointestinal obstruction,GI,"0.624 (0.618, 0.631)","0.678 (0.673, 0.686)","0.055 (0.046, 0.06)",+,0.055,"0.62 (0.605, 0.632)","0.733 (0.719, 0.748)","0.113 (0.098, 0.128)",0.113,+,2974,UKB: + | AoU: +,++
phecode_514-1,Esophageal obstruction (Stricture and stenosis of esophagus),GI,"0.623 (0.613, 0.631)","0.666 (0.657, 0.677)","0.043 (0.032, 0.054)",+,0.043,"0.667 (0.647, 0.686)","0.736 (0.715, 0.755)","0.07 (0.053, 0.086)",0.07,+,951,UKB: + | AoU: +,++
phecode_514-2,Intestinal obstruction,GI,"0.627 (0.619, 0.632)","0.702 (0.693, 0.708)","0.075 (0.068, 0.081)",+,0.075,"0.599 (0.584, 0.612)","0.741 (0.724, 0.756)","0.142 (0.126, 0.158)",0.142,+,2180,UKB: + | AoU: +,++
phecode_514-21,Impaction of intestine,GI,"0.595 (0.577, 0.617)","0.7 (0.677, 0.725)","0.105 (0.083, 0.127)",+,0.105,"0.615 (0.571, 0.654)","0.777 (0.747, 0.808)","0.166 (0.115, 0.191)",0.166,+,330,UKB: + | AoU: +,++
phecode_514-3,Ileus,GI,"0.661 (0.646, 0.677)","0.696 (0.684, 0.709)","0.034 (0.019, 0.047)",+,0.034,"0.58 (0.525, 0.645)","0.777 (0.719, 0.813)","0.193 (0.134, 0.278)",0.193,+,113,UKB: + | AoU: +,++
phecode_514-31,Paralytic ileus,GI,"0.651 (0.617, 0.679)","0.706 (0.677, 0.745)","0.056 (0.029, 0.089)",+,0.056,"0.58 (0.519, 0.645)","0.76 (0.711, 0.814)","0.176 (0.12, 0.254)",0.176,+,111,UKB: + | AoU: +,++
phecode_515,Heartburn and epigastric pain,GI,"0.531 (0.526, 0.535)","0.722 (0.72, 0.725)","0.191 (0.187, 0.199)",+,0.191,"0.555 (0.547, 0.562)","0.663 (0.656, 0.67)","0.108 (0.096, 0.119)",0.108,+,7395,UKB: + | AoU: +,++
phecode_516,Other diseases of stomach and duodenum,GI,"0.591 (0.582, 0.599)","0.711 (0.704, 0.719)","0.121 (0.111, 0.128)",+,0.121,"0.558 (0.554, 0.567)","0.638 (0.633, 0.642)","0.079 (0.074, 0.085)",0.079,+,13758,UKB: + | AoU: +,++
phecode_516-1,Pyloric stenosis,GI,"0.638 (0.61, 0.666)","0.739 (0.712, 0.763)","0.102 (0.076, 0.126)",+,0.102,"0.555 (0.512, 0.615)","0.799 (0.757, 0.838)","0.242 (0.184, 0.278)",0.242,+,135,UKB: + | AoU: +,++
phecode_517,Gastrointestinal angiodysplasia,GI,"0.674 (0.656, 0.695)","0.727 (0.714, 0.741)","0.054 (0.036, 0.065)",+,0.054,"0.776 (0.751, 0.806)","0.818 (0.786, 0.845)","0.045 (0.01, 0.076)",0.045,+,228,UKB: + | AoU: +,++
phecode_518,Appendicitis,GI,"0.533 (0.519, 0.547)","0.561 (0.548, 0.574)","0.028 (0.014, 0.04)",+,0.028,"0.606 (0.581, 0.63)","0.615 (0.591, 0.64)","0.009 (-0.023, 0.047)",0.009,ns,489,UKB: + | AoU: ns,+ns
phecode_520,Hernia,GI,"0.617 (0.614, 0.619)","0.665 (0.663, 0.667)","0.049 (0.047, 0.051)",+,0.049,"0.619 (0.609, 0.626)","0.695 (0.687, 0.702)","0.076 (0.07, 0.084)",0.076,+,7189,UKB: + | AoU: +,++
phecode_520-1,Hernia of the abdominal wall,GI,"0.713 (0.71, 0.716)","0.727 (0.724, 0.731)","0.015 (0.013, 0.016)",+,0.015,"0.636 (0.627, 0.644)","0.674 (0.665, 0.684)","0.039 (0.033, 0.044)",0.039,+,3945,UKB: + | AoU: +,++
phecode_520-11,Inguinal hernia,GI,"0.782 (0.779, 0.784)","0.79 (0.787, 0.792)","0.008 (0.007, 0.009)",+,0.008,"0.794 (0.782, 0.802)","0.797 (0.787, 0.806)","0.004 (0.002, 0.007)",0.004,+,1590,UKB: + | AoU: +,++
phecode_520-13,Umbilical hernia,GI,"0.63 (0.624, 0.638)","0.707 (0.701, 0.713)","0.077 (0.071, 0.086)",+,0.077,"0.551 (0.532, 0.572)","0.669 (0.65, 0.694)","0.119 (0.105, 0.142)",0.119,+,1605,UKB: + | AoU: +,++
phecode_520-14,Ventral hernia,GI,"0.592 (0.585, 0.6)","0.705 (0.699, 0.712)","0.112 (0.103, 0.121)",+,0.112,"0.636 (0.628, 0.645)","0.681 (0.671, 0.692)","0.045 (0.034, 0.06)",0.045,+,3897,UKB: + | AoU: +,++
phecode_520-15,Incisional hernia,GI,"0.606 (0.594, 0.615)","0.761 (0.751, 0.771)","0.155 (0.147, 0.168)",+,0.155,"0.57 (0.549, 0.587)","0.757 (0.739, 0.774)","0.185 (0.157, 0.211)",0.185,+,840,UKB: + | AoU: +,++
phecode_520-2,Diaphragmatic hernia [Hiatal hernia],GI,"0.592 (0.59, 0.596)","0.679 (0.676, 0.681)","0.087 (0.083, 0.09)",+,0.087,"0.638 (0.629, 0.647)","0.732 (0.724, 0.739)","0.094 (0.087, 0.102)",0.094,+,4339,UKB: + | AoU: +,++
phecode_522,Gastrointestinal inflammation,GI,"0.553 (0.55, 0.555)","0.663 (0.66, 0.666)","0.11 (0.107, 0.113)",+,0.11,"0.546 (0.54, 0.552)","0.598 (0.593, 0.606)","0.051 (0.042, 0.06)",0.051,+,14046,UKB: + | AoU: +,++
phecode_522-1,Inflammatory bowel disease,GI,"0.541 (0.53, 0.551)","0.663 (0.655, 0.673)","0.123 (0.111, 0.135)",+,0.123,"0.573 (0.554, 0.604)","0.683 (0.663, 0.714)","0.11 (0.077, 0.146)",0.11,+,816,UKB: + | AoU: +,++
phecode_522-11,Crohn's disease,GI,"0.491 (0.47, 0.505)","0.7 (0.683, 0.715)","0.209 (0.187, 0.233)",+,0.209,"0.551 (0.52, 0.611)","0.741 (0.705, 0.773)","0.185 (0.133, 0.223)",0.185,+,312,UKB: + | AoU: +,++
phecode_522-12,Ulcerative colitis,GI,"0.519 (0.507, 0.531)","0.657 (0.644, 0.668)","0.137 (0.12, 0.151)",+,0.137,"0.546 (0.515, 0.588)","0.722 (0.679, 0.757)","0.172 (0.12, 0.216)",0.172,+,423,UKB: + | AoU: +,++
phecode_522-14,Microscopic colitis*,GI,"0.652 (0.633, 0.669)","0.75 (0.732, 0.76)","0.096 (0.084, 0.107)",+,0.096,"0.744 (0.71, 0.772)","0.745 (0.7, 0.8)","-0.003 (-0.053, 0.037)",-0.003,ns,204,UKB: + | AoU: ns,+ns
phecode_522-6,Eosinophilic gastroenteritis and colitis,GI,"0.65 (0.595, 0.723)","0.734 (0.692, 0.792)","0.087 (0.018, 0.124)",+,0.087,"0.586 (0.549, 0.634)","0.678 (0.617, 0.722)","0.091 (0.014, 0.162)",0.091,+,194,UKB: + | AoU: +,++
phecode_522-61,Eosinophilic esophagitis,GI,"0.667 (0.627, 0.719)","0.74 (0.697, 0.784)","0.074 (0.03, 0.11)",+,0.074,"0.585 (0.554, 0.639)","0.671 (0.607, 0.719)","0.086 (0.012, 0.157)",0.086,+,183,UKB: + | AoU: +,++
phecode_522-7,Ulceration of the lower GI tract,GI,"0.555 (0.544, 0.573)","0.697 (0.684, 0.708)","0.141 (0.119, 0.158)",+,0.141,"0.58 (0.566, 0.603)","0.737 (0.722, 0.755)","0.157 (0.136, 0.172)",0.157,+,1361,UKB: + | AoU: +,++
phecode_522-8,Duodenitis,GI,"0.589 (0.582, 0.593)","0.674 (0.669, 0.679)","0.085 (0.081, 0.093)",+,0.085,"0.596 (0.575, 0.615)","0.72 (0.698, 0.738)","0.125 (0.095, 0.148)",0.125,+,867,UKB: + | AoU: +,++
